Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.326675511748267,0.582646663323663,0.80657764255935,0,0,0,23.7319585510482,0.177950768229468,-0.0164333046927,-0.000215968738125238,0.243875338324971,2.26215780901091E-05,0.320077372592746,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/base_link.STL,,MAIN_SKINNY_no_wheels.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel,-3.4903E-10,0.072249,6.2221E-10,0,0,0,12.163,0.16372,3.111E-09,1.3519E-08,0.29557,9.8824E-07,0.16372,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/left_front_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/left_front_wheel.STL,,simple_wheel.stp-2,Origin_left_front_axial,Axis_left_front_axial,left_front_axial,continuous,0.011928,-0.71596,0.25183,1.5708,0,-2.6156,base_link,0,1,0,,,,,,,,,,,,
left_rear_wheel,-3.4903E-10,0.072249,6.2221E-10,0,0,0,12.163,0.16372,3.111E-09,1.3519E-08,0.29557,9.8824E-07,0.16372,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/left_rear_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/left_rear_wheel.STL,,simple_wheel.stp-3,Origin_left_rear_axial,Axis_left_rear_axial,left_rear_axial,continuous,0.64143,-0.71596,0.25107,1.5708,0,-2.8897,base_link,0,1,0,,,,,,,,,,,,
right_rear_wheel,-3.4903E-10,0.072249,6.2221E-10,0,0,0,12.163,0.16372,3.111E-09,1.3519E-08,0.29557,9.8824E-07,0.16372,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/right_rear_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/right_rear_wheel.STL,,simple_wheel.stp-4,Origin_right_rear_axial,Axis_right_rear_axial,right_rear_axial,continuous,0.64143,-0.71596,0.7692,1.5708,0,-2.6156,base_link,0,-1,0,,,,,,,,,,,,
right_front_wheel,-3.4902E-10,0.072249,6.2221E-10,0,0,0,12.163,0.16372,3.111E-09,1.3519E-08,0.29557,9.8824E-07,0.16372,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/right_front_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://WithOutGloablXYZ/meshes/right_front_wheel.STL,,simple_wheel.stp-1,Origin_right_front_axial,Axis_right_front_axial,right_front_axial,continuous,0.011928,-0.71596,0.76996,1.5708,0,-0.96608,base_link,0,-1,0,,,,,,,,,,,,
